,Store,StoreType,Date
812,30,a,2014-12-26
813,30,a,2015-01-01
814,30,a,2015-04-03
815,30,a,2015-04-06
816,30,a,2015-05-01
817,30,a,2015-05-14
818,30,a,2015-05-25
819,30,a,2015-06-04
820,31,d,2013-01-01
821,31,d,2013-03-29
822,31,d,2013-04-01
823,31,d,2013-05-01
824,31,d,2013-05-09
825,31,d,2013-05-20
826,31,d,2013-10-03
827,31,d,2013-12-25
828,31,d,2013-12-26
829,31,d,2014-01-01
830,31,d,2014-04-18
831,31,d,2014-04-21
832,31,d,2014-05-01
833,31,d,2014-05-29
834,31,d,2014-06-09
835,31,d,2014-10-03
836,31,d,2014-12-25
837,31,d,2014-12-26
838,31,d,2015-01-01
839,31,d,2015-04-03
840,31,d,2015-04-06
841,31,d,2015-05-01
842,31,d,2015-05-14
843,31,d,2015-05-25
844,32,a,2013-01-01
845,32,a,2013-01-06
846,32,a,2013-03-29
847,32,a,2013-04-01
848,32,a,2013-05-01
849,32,a,2013-05-09
850,32,a,2013-05-20
851,32,a,2013-05-30
852,32,a,2013-08-15
853,32,a,2013-10-03
854,32,a,2013-11-01
855,32,a,2013-12-25
856,32,a,2013-12-26
857,32,a,2014-01-01
858,32,a,2014-01-06
859,32,a,2014-04-18
860,32,a,2014-04-21
861,32,a,2014-05-01
862,32,a,2014-05-29
863,32,a,2014-06-09
864,32,a,2014-06-19
865,32,a,2015-01-01
866,32,a,2015-01-06
867,32,a,2015-04-03
868,32,a,2015-04-06
869,32,a,2015-05-01
870,32,a,2015-05-14
871,32,a,2015-05-25
872,32,a,2015-06-04
873,32,a,2015-08-15
874,33,a,2013-01-01
875,33,a,2013-03-29
876,33,a,2013-04-01
877,33,a,2013-05-01
878,33,a,2013-05-09
879,33,a,2013-05-20
880,33,a,2013-05-30
881,33,a,2013-10-03
882,33,a,2013-11-01
883,33,a,2013-12-25
884,33,a,2013-12-26
885,33,a,2014-01-01
886,33,a,2014-04-18
887,33,a,2014-04-21
888,33,a,2014-05-01
889,33,a,2014-05-29
890,33,a,2014-06-09
891,33,a,2014-06-19
892,33,a,2014-10-03
893,33,a,2014-11-01
894,33,a,2014-12-25
895,33,a,2014-12-26
896,33,a,2015-01-01
897,33,a,2015-04-03
898,33,a,2015-04-06
899,33,a,2015-05-01
900,33,a,2015-05-14
901,33,a,2015-05-25
902,33,a,2015-06-04
903,34,c,2013-01-01
904,34,c,2013-03-29
905,34,c,2013-04-01
906,34,c,2013-05-01
907,34,c,2013-05-09
908,34,c,2013-05-20
909,34,c,2013-10-03
910,34,c,2013-12-25
911,34,c,2013-12-26
912,34,c,2014-01-01
913,34,c,2014-04-18
914,34,c,2014-04-21
915,34,c,2014-05-01
916,34,c,2014-05-29
917,34,c,2014-06-09
918,34,c,2014-10-03
919,34,c,2014-12-25
920,34,c,2014-12-26
921,34,c,2015-01-01
922,34,c,2015-04-03
923,34,c,2015-04-06
924,34,c,2015-05-01
925,34,c,2015-05-14
926,34,c,2015-05-25
927,35,d,2013-01-01
928,35,d,2013-03-29
929,35,d,2013-04-01
930,35,d,2013-05-01
931,35,d,2013-05-09
932,35,d,2013-05-20
933,35,d,2013-05-30
934,35,d,2013-10-03
935,35,d,2013-11-01
936,35,d,2013-12-25
937,35,d,2013-12-26
938,35,d,2014-01-01
939,35,d,2014-04-18
940,35,d,2014-04-21
941,35,d,2014-05-01
942,35,d,2014-05-29
943,35,d,2014-06-09
944,35,d,2014-06-19
945,35,d,2014-10-03
946,35,d,2014-11-01
947,35,d,2014-12-25
948,35,d,2014-12-26
949,35,d,2015-01-01
950,35,d,2015-04-03
951,35,d,2015-04-06
952,35,d,2015-05-01
953,35,d,2015-05-14
954,35,d,2015-05-25
955,35,d,2015-06-04
956,36,a,2013-01-01
957,36,a,2013-01-06
958,36,a,2013-03-29
959,36,a,2013-04-01
960,36,a,2013-05-01
961,36,a,2013-05-09
962,36,a,2013-05-20
963,36,a,2013-05-30
964,36,a,2013-08-15
965,36,a,2013-10-03
966,36,a,2013-11-01
967,36,a,2013-12-25
968,36,a,2013-12-26
969,36,a,2014-01-01
970,36,a,2014-01-06
971,36,a,2014-04-18
972,36,a,2014-04-21
973,36,a,2014-05-01
974,36,a,2014-05-29
975,36,a,2014-06-09
976,36,a,2014-06-19
977,36,a,2015-01-01
978,36,a,2015-01-06
979,36,a,2015-04-03
980,36,a,2015-04-06
981,36,a,2015-05-01
982,36,a,2015-05-14
983,36,a,2015-05-25
984,36,a,2015-06-04
985,36,a,2015-08-15
986,37,c,2013-01-01
987,37,c,2013-01-06
988,37,c,2013-03-29
989,37,c,2013-04-01
990,37,c,2013-05-01
991,37,c,2013-05-09
992,37,c,2013-05-20
993,37,c,2013-10-03
994,37,c,2013-10-31
995,37,c,2013-12-25
996,37,c,2013-12-26
997,37,c,2014-01-01
998,37,c,2014-01-06
999,37,c,2014-04-18
1000,37,c,2014-04-21
1001,37,c,2014-05-01
1002,37,c,2014-05-29
1003,37,c,2014-06-09
1004,37,c,2014-10-03
1005,37,c,2014-10-31
1006,37,c,2014-12-25
1007,37,c,2014-12-26
1008,37,c,2015-01-01
1009,37,c,2015-01-06
1010,37,c,2015-04-03
1011,37,c,2015-04-06
1012,37,c,2015-05-01
1013,37,c,2015-05-14
1014,37,c,2015-05-25
1015,38,d,2013-01-01
1016,38,d,2013-03-29
1017,38,d,2013-04-01
1018,38,d,2013-05-01
1019,38,d,2013-05-09
1020,38,d,2013-05-20
1021,38,d,2013-05-30
1022,38,d,2013-10-03
1023,38,d,2013-11-01
1024,38,d,2013-12-25
1025,38,d,2013-12-26
1026,38,d,2014-01-01
1027,38,d,2014-04-18
1028,38,d,2014-04-21
1029,38,d,2014-05-01
1030,38,d,2014-05-29
1031,38,d,2014-06-09
1032,38,d,2014-06-19
1033,38,d,2014-10-03
1034,38,d,2014-11-01
1035,38,d,2014-12-25
1036,38,d,2014-12-26
1037,38,d,2015-01-01
1038,38,d,2015-04-03
1039,38,d,2015-04-06
1040,38,d,2015-05-01
1041,38,d,2015-05-14
1042,38,d,2015-05-25
1043,38,d,2015-06-04
1044,39,a,2013-01-01
1045,39,a,2013-03-29
1046,39,a,2013-04-01
1047,39,a,2013-05-01
1048,39,a,2013-05-09
1049,39,a,2013-05-20
1050,39,a,2013-05-30
1051,39,a,2013-10-03
1052,39,a,2013-11-01
1053,39,a,2013-12-25
1054,39,a,2013-12-26
1055,39,a,2014-01-01
1056,39,a,2014-04-18
1057,39,a,2014-04-21
1058,39,a,2014-05-01
1059,39,a,2014-05-29
1060,39,a,2014-06-09
1061,39,a,2014-06-19
1062,39,a,2014-10-03
1063,39,a,2014-11-01
1064,39,a,2014-12-25
1065,39,a,2014-12-26
1066,39,a,2015-01-01
1067,39,a,2015-04-03
1068,39,a,2015-04-06
